"chemical" "ProteinID"
"CIDm00000040" "b0344"
"CIDm00000047" "b3458"
"CIDm00000047" "b3460"
"CIDm00000049" "b0074"
"CIDm00000049" "b0134"
"CIDm00000049" "b0352"
"CIDm00000049" "b1096"
"CIDm00000049" "b3770"
"CIDm00000051" "b0074"
"CIDm00000051" "b0210"
"CIDm00000051" "b0213"
"CIDm00000051" "b0219"
"CIDm00000051" "b0352"
"CIDm00000051" "b0368"
"CIDm00000051" "b0450"
"CIDm00000051" "b0480"
"CIDm00000051" "b0568"
"CIDm00000051" "b0777"
"CIDm00000051" "b0921"
"CIDm00000051" "b0928"
"CIDm00000051" "b1068"
"CIDm00000051" "b1128"
"CIDm00000051" "b1136"
"CIDm00000051" "b1302"
"CIDm00000051" "b1315"
"CIDm00000051" "b1325"
"CIDm00000051" "b1430"
"CIDm00000051" "b1439"
"CIDm00000051" "b1581"
"CIDm00000051" "b1624"
"CIDm00000051" "b1761"
"CIDm00000051" "b1822"
"CIDm00000051" "b1843"
"CIDm00000051" "b1870"
"CIDm00000051" "b1871"
"CIDm00000051" "b2212"
"CIDm00000051" "b2247"
"CIDm00000051" "b2253"
"CIDm00000051" "b2264"
"CIDm00000051" "b2553"
"CIDm00000051" "b2662"
"CIDm00000051" "b2787"
"CIDm00000051" "b2788"
"CIDm00000051" "b2851"
"CIDm00000051" "b2852"
"CIDm00000051" "b2913"
"CIDm00000051" "b3087"
"CIDm00000051" "b3212"
"CIDm00000051" "b3440"
"CIDm00000051" "b3530"
"CIDm00000051" "b3791"
"CIDm00000051" "b4054"
"CIDm00000051" "b4213"
"CIDm00000051" "b4280"
"CIDm00000051" "b4340"
"CIDm00000051" "b4478"
"CIDm00000058" "b0268"
"CIDm00000058" "b2245"
"CIDm00000058" "b2478"
"CIDm00000058" "b3113"
"CIDm00000058" "b3126"
"CIDm00000058" "b3225"
"CIDm00000058" "b4298"
"CIDm00000070" "b0074"
"CIDm00000070" "b0352"
"CIDm00000070" "b0570"
"CIDm00000070" "b1096"
"CIDm00000070" "b1129"
"CIDm00000070" "b1380"
"CIDm00000070" "b1968"
"CIDm00000070" "b2078"
"CIDm00000070" "b2219"
"CIDm00000070" "b3210"
"CIDm00000070" "b3553"
"CIDm00000070" "b3770"
"CIDm00000070" "b4399"
"CIDm00000096" "b0150"
"CIDm00000096" "b1180"
"CIDm00000096" "b3966"
